Wall time,Step,Value,Exp Wall time,Exp Step,Exp Value
1669176708,5,177.7736206,1714697227,5,177.4004669
1669176758,10,162.3837738,1714697308,10,221.260788
1669176801,15,198.7346649,1714697407,15,427.6069336
1669176851,20,99.7396698,1714697508,20,442.4766846
1669176902,25,168.8481598,1714697607,25,463.6065063
1669176955,30,181.1768951,1714697707,30,423.3815308
1669177007,35,161.2112122,1714697801,35,462.5127563
1669177060,40,186.899292,1714697896,40,369.4237366
1669177111,45,174.5158997,1714697994,45,525.9855347
1669177163,50,141.3211212,1714698093,50,552.6419067
1669177215,55,161.397644,1714698187,55,492.305603
1669177268,60,138.4360962,1714698281,60,507.6325378
1669177322,65,175.2535706,1714698366,65,500.2864685
1669177376,70,190.3188171,1714698454,70,546.8200073
1669177433,75,203.1716156,1714698542,75,528.2666626
1669177490,80,206.9558411,1714698628,80,541.119873
1669177542,85,195.8585205,1714698707,85,538.6011353
1669177597,90,188.9391479,1714698786,90,539.9679565
1669177650,95,184.875061,1714698857,95,516.5967407
1669177699,100,202.0084534,1714698931,100,576.3391724
1669177754,105,198.1571655,1714699003,105,512.1505127
1669177809,110,191.6989136,1714699075,110,527.0528564
1669177862,115,210.5307922,1714699146,115,529.7622681
1669177917,120,180.5771027,1714699219,120,519.7664185
1669177971,125,204.1388245,1714699285,125,521.1403198
1669178027,130,204.736496,1714699353,130,543.807251
1669178080,135,188.1659393,1714699417,135,527.7996826
1669178134,140,178.2245483,1714699481,140,568.4655762
1669178186,145,174.686203,1714699545,145,558.8927002
1669178238,150,173.1718292,1714699608,150,576.2095337
1669178291,155,191.2013702,1714699669,155,551.4332275
1669178345,160,190.2919159,1714699731,160,549.1203613
1669178399,165,201.2058258,1714699793,165,573.0964355
1669178455,170,181.0577698,1714699856,170,549.0282593
1669178508,175,185.0792694,1714699919,175,531.0102539
1669178560,180,142.7978058,1714699979,180,561.1558838
1669178611,185,163.8739319,1714700039,185,481.2698669
1669178663,190,177.2035065,1714700097,190,567.6600952
1669178715,195,185.2596283,1714700158,195,548.4152832
1669178767,200,186.7105103,1714700221,200,567.6212769
1669178818,205,186.2664032,1714700289,205,597.0634155
1669178871,210,190.6010437,1714700349,210,544.9013672
1669178923,215,198.2829285,1714700414,215,567.0621338
1669178976,220,177.7841644,1714700481,220,576.7130127
1669179031,225,186.3101196,1714700554,225,625.3797607
1669179085,230,204.9314575,1714700631,230,614.3530273
1669179136,235,221.5535431,1714700703,235,566.9084473
1669179190,240,183.7866516,1714700776,240,619.6115723
1669179242,245,196.0574188,1714700845,245,555.7050171
1669179296,250,207.9056854,1714700919,250,647.8197632
1669179347,255,183.1793976,1714700989,255,632.7945557
1669179402,260,213.8866272,1714701061,260,656.5720215
1669179465,265,252.0703278,1714701134,265,615.6323853
1669179521,270,181.1983643,1714701206,270,607.4569092
1669179575,275,213.829483,1714701278,275,592.7450562
1669179634,280,213.5028992,1714701354,280,621.2214966
1669179691,285,180.2731171,1714701426,285,550.2657471
1669179749,290,184.223053,1714701500,290,615.1491089
1669179808,295,154.8912659,1714701574,295,654.2112427
1669179870,300,233.1541748,1714701649,300,627.3361206
1669179926,305,188.920166,1714701724,305,663.6189575
1669179980,310,184.6761017,1714701799,310,668.6806641
1669180045,315,253.1067352,1714701872,315,604.3896484
1669180104,320,228.9272614,1714701952,320,636.7731934
1669180168,325,255.962738,1714702073,325,937.6870728
1669180230,330,194.2632141,1714702168,330,402.2512817
1669180298,335,281.8860779,1714702270,335,732.7804565
1669180365,340,247.8318176,1714702374,340,756.7217407
1669180428,345,238.38237,1714702459,345,1276.214966
1669180490,350,208.6512604,1714702533,350,203.3781586
1669180557,355,273.6939697,1714702597,355,239.8657837
1669180640,360,291.3178406,1714702654,360,121.461113
1669180686,365,42.93651581,1714702715,365,266.2098083
1669180722,370,70.30838776,1714702777,370,337.7435303
1669185955,375,362.2557068,1714702838,375,344.0252075
1669186004,380,58.10799408,1714702899,380,352.990387
1669186066,385,385.3293762,1714702959,385,394.2848816
1669186116,390,93.60186768,1714703022,390,392.5356445
1669186162,395,124.5395508,1714703090,395,364.4512329
1669186208,400,115.2517853,1714703155,400,414.0288086
1669186252,405,88.2487793,1714703232,405,435.9056702
1669186297,410,101.0412827,1714703309,410,242.7198029
1669186353,415,68.73757172,1714703360,415,253.5107269
1669186404,420,121.0708008,1714703412,420,258.0892944
1669186461,425,119.9372025,1714703463,425,237.2220154
1669186522,430,346.3074646,1714703518,430,216.1249237
1669186576,435,130.9921112,1714703572,435,256.0067749
1669186630,440,155.2427063,1714703624,440,270.075592
1669186690,445,122.391037,1714703676,445,265.7587891
1669186748,450,79.17356873,1714703729,450,278.3071289
1669186810,455,114.7997208,1714703780,455,268.9763489
1669186875,460,169.3031006,1714703835,460,258.5411682
1669186931,465,161.2380981,1714703888,465,272.027771
1669186996,470,102.8207855,1714703942,470,287.5092773
1669187073,475,136.0874176,1714704004,475,283.9605408
1669187146,480,152.6376953,1714704071,480,456.6574097
1669187215,485,165.8467712,1714704130,485,312.3059082
1669187288,490,132.5776672,1714704195,490,432.5730896
1669187370,495,182.4033966,1714704259,495,283.6834106
1669187423,500,119.6408997,1714704324,500,325.213623
1669187476,505,107.1564102,1714704403,505,403.2977905
1669187530,510,117.5546494,1714704482,510,433.8581543
1669187581,515,126.6019363,1714704570,515,460.9969177
1669187632,520,130.3899384,1714704659,520,344.2078247
1669187685,525,149.6746826,1714704755,525,452.4335327
1669187738,530,140.4117126,1714704854,530,403.7815857
1669187786,535,149.9572906,1714704921,535,462.1127319
1669187836,540,128.5061951,1714705012,540,474.7807312
1669187890,545,150.2032471,1714705107,545,433.3092041
1669187944,550,131.3006592,1714705196,550,458.7291565
1669188016,555,141.6215057,1714705305,555,514.6911621
1669188092,560,77.41870117,1714705389,560,733.4237671
1669188173,565,181.4705963,1714705492,565,455.9047546
1669188230,570,153.470108,1714705613,570,714.6077271
1669188267,575,11.02814198,1714705733,575,721.9318848
1669188307,580,12.41893673,1714705848,580,1223.127197
1669188419,585,312.7966309,1714705931,585,998.7626343
1669188483,590,144.0565338,1714705971,590,190.8411255
1669188600,595,173.3604584,1714706010,595,178.3983917
1669188691,600,197.1072235,1714706039,600,159.7351837
1669188738,605,72.59888458,1714706085,605,490.7886047
1669188800,610,64.33810425,1714706115,610,197.2203369
1669188971,615,76.44702911,1714706162,615,487.9997864
1669189082,620,917.1620483,1714706201,620,165.6795959
1669189147,625,18.88809776,1714706250,625,234.8508759
1669189357,630,206.8686676,1714706383,630,217.5545197
1669189452,635,587.2322388,1714706488,635,1530.518188
1669189513,640,60.03637695,1714706625,640,1719.720093
1669189666,645,1388.303955,1714706888,645,1335.753906
1669189909,650,689.7477417,1714707099,650,232.0974121
1669190135,655,581.4694214,1714707203,655,2344.939453
1669190431,660,268.7043457,1714707441,660,179.425827
1669190527,665,146.5646667,1714707570,665,1084.971069
1669190756,670,39.93247223,1714707986,670,2441.970459
1669190836,675,34.14437485,1714708166,675,586.6444702
1669191036,680,70.96440887,1714708342,680,3169.174805
1669191300,685,80.4018631,1714708413,685,511.436676
1669191544,690,1837.60376,1714708486,690,538.3779297
1669191780,695,2128.022705,1714708660,695,597.2736816
1669191908,700,164.8321381,1714708819,700,2543.707275
1669192133,705,181.4710388,1714708913,705,1864.816406
1669192417,710,185.749939,1714709159,710,939.3493042
1669192893,715,1919.656982,1714709412,715,3281.816162
1669193435,720,1457.534424,1714709713,720,2945.523438
1669193893,725,223.8983459,1714710001,725,3012.355469
1669194234,730,1594.400391,1714710487,730,2876.818359
1669194490,735,477.4452515,1714710866,735,3305.314209
1669194624,740,266.3781433,1714711243,740,1617.650757
1669194978,745,1441.105469,1714711543,745,3237.657959
1669195310,750,617.4846191,1714712015,750,3456.154785
1669195840,755,1720.238403,1714712388,755,3351.087402
1669196442,760,809.2301636,1714712854,760,3221.775391
1669196767,765,710.7869263,1714713641,765,3128.05249
1669197072,770,137.7981567,1714714377,770,3267.328857
1669197321,775,229.1449127,1714714723,775,2500.07666
1669197904,780,1863.456177,1714715465,780,3015.802002
1669198320,785,189.6795044,1714715643,785,908.3012085
1669198812,790,2746.187744,1714715735,790,800.7045288
1669199014,795,467.9398193,1714715822,795,855.9516602
1669199279,800,339.3046265,1714715932,800,827.5211792
1669199646,805,1721.904541,1714716057,805,837.0817871
1669200004,810,2639.992432,1714716145,810,822.8098755
1669200258,815,444.5715027,1714716232,815,833.3887329
1669200557,820,287.9725952,1714716358,820,1570.089966
1669200790,825,399.8379211,1714716463,825,1647.356812
1669201114,830,850.4772339,1714716551,830,798.2545776
1669201596,835,376.5479126,1714716661,835,869.1478882
1669202182,840,1759.573364,1714716750,840,851.3225708
1669202803,845,2079.459961,1714716841,845,896.5699463
1669203177,850,1568.026001,1714716944,850,890.0588989
1669203587,855,734.4414063,1714717035,855,940.114502
1669203998,860,282.7326965,1714717129,860,837.6219482
1669204573,865,2567.046875,1714717257,865,907.402771
1669205166,870,336.092804,1714717348,870,884.3800659
1669205744,875,2248.749512,1714717440,875,927.3485718
1669206322,880,738.9898682,1714717536,880,890.9627686
1669206677,885,998.710144,1714717673,885,975.5040894
1669206875,890,29.53969193,1714717771,890,826.0640869
1669207283,895,85.04340363,1714717865,895,966.666626
1669207427,900,765.979187,1714718141,900,991.7692871
1669207826,905,330.3926086,1714718207,905,568.3994141
1669208230,910,1229.906006,1714718342,910,487.9724121
1669208644,915,2020.989502,1714718483,915,946.3295898
1669209305,920,1968.31189,1714718701,920,2942.835205
1669209740,925,1901.023438,1714718842,925,623.2521362
1669210031,930,1956.744385,1714718974,930,886.0621948
1669210286,935,142.0439453,1714719064,935,932.2630005
1669210745,940,1882.577881,1714719156,940,870.9799805
1669211136,945,1327.111694,1714719262,945,953.0794067
1669211391,950,723.0170288,1714719368,950,964.0206909
1669211634,955,1732.740479,1714719595,955,972.8282471
1669212432,960,1864.329834,1714719664,960,437.1459045
1669212875,965,1951.998779,1714719798,965,3136.327148
1669213368,970,2663.544434,1714719974,970,891.1246948
1669213691,975,785.6531372,1714720179,975,1496.599365
1669214322,980,2732.185547,1714720216,980,431.351532
1669214749,985,587.213623,1714720247,985,49.48800659
1669215326,990,2617.388184,1714720279,990,40.12560272
1669216006,995,2504.408936,1714720310,995,32.61182404
1669216729,1000,1640.953857,1714720356,1000,244.9415283
1669217210,1005,735.6347656,1714720391,1005,83.36713409
1669217624,1010,1242.015625,1714720445,1010,103.4966888
1669217926,1015,1697.370728,1714720579,1015,447.3357849
1669218424,1020,2669.996094,1714720675,1020,724.1373901
1669219276,1025,1608.651733,1714720798,1025,813.6889648
1669219528,1030,1319.544189,1714720943,1030,1125.730469
1669219984,1035,1627.699341,1714721078,1035,1312.957397
1669220406,1040,2540.430176,1714721225,1040,1272.953857
1669220898,1045,1443.603271,1714721530,1045,3106.835449
1669221288,1050,1015.003052,1714721683,1050,1505.922485
1669221639,1055,2617.080078,,,
1669222304,1060,2572.924072,,,
1669222860,1065,829.3181152,,,
1669223463,1070,2595.255371,,,
1669223925,1075,1327.265747,,,
1669224478,1080,2565.825684,,,
1669224864,1085,1632.924927,,,
1669227106,1085,5186.487793,,,
1669227988,1090,5061.317383,,,
1669228742,1095,5036.681152,,,
1669229572,1100,3564.093506,,,
1669230185,1105,5025.689453,,,
1669231005,1110,432.2803955,,,
1669231820,1115,2951.816406,,,
1669232719,1120,2142.36499,,,
1669233506,1125,3274.959229,,,
1669234474,1130,3252.30249,,,
1669236816,1135,5262.657227,,,
