Wall time,Step,Value,Exp Wall time,Exp Step,Exp Value
1669176708,2053,0.585204184,1714682195,3714,0.734581292
1669176758,4065,0.587830365,1714694107,6018,0.565716803
1669176801,5843,0.427335083,1714697227,7193,0.811954319
1669176851,7884,0.663887382,1714697308,14803,0.891186416
1669176902,9972,0.493691891,1714697407,24287,0.651951194
1669176955,12119,0.386277765,1714697508,33861,0.920956552
1669177007,14252,0.376518399,1714697607,43245,0.698264062
1669177060,16393,0.373938113,1714697707,52675,0.67029047
1669177111,18468,0.304785252,1714697801,61586,0.687745571
1669177163,20572,0.45883438,1714697896,70529,0.801722407
1669177215,22741,0.354782581,1714697994,79779,0.437402248
1669177268,24889,0.39215067,1714698093,89145,0.551609516
1669177322,27050,0.394302607,1714698187,98090,0.662056088
1669177376,29229,0.296771616,1714698281,106811,0.755953133
1669177433,31629,0.374035418,1714698366,114874,0.375615329
1669177490,33979,0.334232926,1714698454,123033,0.400452912
1669177542,36110,0.324353516,1714698542,131398,0.295050561
1669177597,38310,0.349168003,1714698628,139471,0.441135854
1669177650,40469,0.38527438,1714698707,146916,0.294969648
1669177699,42476,0.433521301,1714698786,154324,0.303492904
1669177754,44752,0.348413914,1714698857,161087,0.334791929
1669177809,47013,0.304785341,1714698931,168045,0.306001872
1669177862,49233,0.346232921,1714699003,174756,0.304970443
1669177917,51449,0.496324062,1714699075,181505,0.296880871
1669177971,53681,0.315426916,1714699146,188236,0.417841583
1669178027,55960,0.31169194,1714699219,195076,0.363633335
1669178080,58138,0.372403383,1714699285,201342,0.364709914
1669178134,60362,0.392745018,1714699353,207682,0.460107088
1669178186,62495,0.361741662,1714699417,213789,0.298662215
1669178238,64631,0.405596972,1714699481,219747,0.345771223
1669178291,66835,0.372178465,1714699545,225724,0.256092757
1669178345,69058,0.298608929,1714699608,231675,0.292345017
1669178399,71243,0.3512685,1714699669,237469,0.313392967
1669178455,73484,0.358535111,1714699731,243275,0.276346952
1669178508,75655,0.307685733,1714699793,249134,0.282193035
1669178560,77754,0.355563194,1714699856,255024,0.261915982
1669178611,79858,0.355457753,1714699919,260902,0.386452228
1669178663,81936,0.278146863,1714699979,266442,0.35221082
1669178715,84081,0.339390367,1714700039,272041,0.370877981
1669178767,86233,0.320382059,1714700097,277479,0.274482906
1669178818,88348,0.315583825,1714700158,283206,0.299459785
1669178871,90478,0.361889273,1714700221,288960,0.315965176
1669178923,92631,0.36612317,1714700289,295284,0.463262975
1669178976,94736,0.323373109,1714700349,300819,0.352582723
1669179031,96998,0.459159195,1714700414,306837,0.390327334
1669179085,99180,0.341412336,1714700481,313035,0.405901462
1669179136,101344,0.27408433,1714700554,319740,0.474252045
1669179190,103557,0.333366781,1714700631,326711,0.489745408
1669179242,105713,0.29499647,1714700703,333228,0.47057265
1669179296,107888,0.324122339,1714700776,339860,0.474699706
1669179347,110021,0.345766664,1714700845,346166,0.412684679
1669179402,112243,0.335041076,1714700919,352874,0.476017565
1669179465,114780,0.449451268,1714700989,359170,0.4550713
1669179521,117088,0.34432447,1714701061,365651,0.425278604
1669179575,119361,0.391647935,1714701134,372092,0.454812318
1669179634,121778,0.405514807,1714701206,378526,0.461644769
1669179691,124187,0.392805725,1714701278,385004,0.479526758
1669179749,126556,0.386763871,1714701354,391693,0.493464619
1669179808,129003,0.385551512,1714701426,398116,0.501785457
1669179870,131521,0.439966083,1714701500,404711,0.49604547
1669179926,133801,0.356191695,1714701574,411208,0.482776672
1669179980,135984,0.351357013,1714701649,417846,0.503582537
1669180045,138606,0.406286627,1714701724,424425,0.539126515
1669180104,140959,0.344450504,1714701799,430855,0.469624907
1669180168,143590,0.438554019,1714701872,437207,0.51410383
1669180230,146103,0.413149148,1714701952,444011,0.557333529
1669180298,148854,0.464012772,1714702073,453290,0.560930848
1669180365,151581,0.438704818,1714702168,460408,0.635035694
1669180428,154119,0.406838894,1714702270,468087,0.581234336
1669180490,156624,0.429084569,1714702374,475807,0.697880507
1669180557,159328,0.484218538,1714702459,482822,0.879788339
1669180640,162192,0.555842698,1714702533,488823,0.808773398
1669180686,163677,0.652666152,1714702597,494312,0.756913066
1669180722,164806,0.591954708,1714702654,499238,0.648380816
1669185955,168229,0.515999913,1714702715,504488,0.61820364
1669186004,170012,0.633877993,1714702777,509779,0.595193148
1669186066,172440,0.622000635,1714702838,514894,0.612039208
1669186116,174414,0.642298758,1714702899,520120,0.556928515
1669186162,176259,0.654866874,1714702959,525285,0.591166317
1669186208,178086,0.656212628,1714703022,530618,0.593865871
1669186252,179805,0.644213736,1714703090,536279,0.578345239
1669186297,181499,0.716804683,1714703155,541662,0.651113093
1669186353,183613,0.734886587,1714703232,547144,0.586539745
1669186404,185534,0.617043316,1714703309,552856,0.446976602
1669186461,187695,0.781058729,1714703360,557204,0.399216443
1669186522,190348,0.700634778,1714703412,561558,0.401491493
1669186576,192787,0.83869195,1714703463,565819,0.375691921
1669186630,195241,0.68076396,1714703518,570333,0.398728102
1669186690,197975,0.840894639,1714703572,574858,0.386121601
1669186748,200627,0.764960051,1714703624,579204,0.386115462
1669186810,203452,0.755510986,1714703676,583543,0.383684456
1669186875,206244,0.775808692,1714703729,587930,0.398204416
1669186931,208702,0.686574161,1714703780,592233,0.386820078
1669186996,211514,0.765307009,1714703835,596798,0.403453499
1669187073,214345,0.691217184,1714703888,601322,0.38778621
1669187146,216688,0.597405434,1714703942,605729,0.395880461
1669187215,219043,0.59856385,1714704004,610857,0.481564909
1669187288,221493,0.690292716,1714704071,616150,0.460926831
1669187370,224784,0.419424146,1714704130,621010,0.472674698
1669187423,227081,0.394680858,1714704195,626242,0.467805564
1669187476,229476,0.396777183,1714704259,631495,0.494785696
1669187530,231830,0.337612718,1714704324,636690,0.447613329
1669187581,234127,0.341684073,1714704403,642884,0.596455216
1669187632,236362,0.355593562,1714704482,648998,0.536652625
1669187685,238714,0.341791183,1714704570,655746,0.616732657
1669187738,241038,0.333210438,1714704659,662528,0.627620578
1669187786,243214,0.306516886,1714704755,669816,0.626799047
1669187836,245422,0.365557432,1714704854,677433,0.635076761
1669187890,247838,0.353863001,1714704921,682747,0.503563166
1669187944,250181,0.316207051,1714705012,689610,0.646392465
1669188016,253155,0.485051602,1714705107,696861,0.608471692
1669188092,255905,0.466468126,1714705196,703670,0.575422108
1669188173,258718,0.459621936,1714705305,711884,0.699498773
1669188230,260563,0.607558727,1714705389,718323,0.545758247
1669188267,261717,0.698518693,1714705492,726037,0.560411215
1669188307,262896,0.726805031,1714705613,734997,0.697417438
1669188419,266854,0.613152623,1714705733,744130,0.556735873
1669188483,268922,0.510597706,1714705848,753162,0.895340502
1669188600,272976,0.50994879,1714705931,760115,0.327581167
1669188691,275894,0.527781487,1714705971,763609,0.248569936
1669188738,277296,0.499886155,1714706010,767070,0.230034694
1669188800,279094,0.599919856,1714706039,769666,0.21795623
1669188971,285176,0.489879042,1714706085,773634,0.248153329
1669189082,288756,0.592007816,1714706115,776423,0.220502079
1669189147,290837,0.562207878,1714706162,780446,0.262400001
1669189357,296247,0.572491348,1714706201,783823,0.240951642
1669189452,298545,0.335517108,1714706250,788084,0.265250385
1669189513,300052,0.3652547,1714706383,798410,0.475318909
1669189666,303839,0.569901705,1714706488,806610,0.768154144
1669189909,309713,0.488780707,1714706625,817641,0.466716617
1669190135,315172,0.451421738,1714706888,838282,0.675184998
1669190431,322403,0.440768033,1714707099,854496,0.53965155
1669190527,324697,0.519842207,1714707203,862495,0.658642173
1669190756,330242,0.454914898,1714707315,870908,0.671951771
1669190836,332078,0.468670577,1714707382,875908,0.549957764
1669191036,337072,0.35449633,1714707441,880908,0.427063385
1669191300,343477,0.42918101,1714707503,885796,0.308190167
1669191544,349450,0.483182043,1714707570,890796,0.402862305
1669191780,355378,0.539314628,1714707986,922845,0.637134033
1669191908,358404,0.409710675,1714708103,931053,0.356013447
1669192133,364205,0.374475628,1714708166,936053,0.564515808
1669192417,371193,0.349194795,1714708342,948823,0.420663635
1669192893,383144,0.345679939,1714708413,953410,0.265111983
1669193435,396827,0.391047329,1714708486,958060,0.283752829
1669193893,408462,0.376041025,1714708596,965417,0.328905582
1669194234,416937,0.3723782,1714708660,970417,0.503634735
1669194490,423308,0.382279068,1714708819,982931,0.403462976
1669194624,426486,0.370087773,1714708913,989423,0.311356276
1669194978,435436,0.39168185,1714709159,1008388,0.458162079
1669195310,443597,0.351446271,1714709412,1028147,0.376779419
1669195840,456987,0.36079663,1714709480,1033147,0.391259491
1669196442,472027,0.367693275,1714709713,1051247,0.549644287
1669196767,480263,0.351133555,1714710001,1073575,0.522542786
1669197072,487731,0.367881149,1714710070,1078575,0.38359433
1669197321,493982,0.362695724,1714710487,1110853,0.384990588
1669197904,508535,0.343435287,1714710866,1140770,0.320124512
1669198320,518985,0.359358549,1714711243,1169663,0.328835083
1669198812,531271,0.346904606,1714711476,1188417,0.504525665
1669199014,536464,0.383298576,1714711543,1193417,0.336227997
1669199279,543048,0.376329511,1714712015,1229958,0.314843384
1669199646,552228,0.373354316,1714712388,1259107,0.312732124
1669200004,561076,0.395373702,1714712854,1294154,0.316267592
1669200258,567265,0.416963071,1714712921,1299154,0.441228272
1669200557,574585,0.38120389,1714712987,1304154,0.484733917
1669200790,580305,0.438905865,1714713508,1344771,0.498604492
1669201114,588323,0.382856578,1714713574,1349771,0.437752899
1669201596,600215,0.381844759,1714713641,1354771,0.498424683
1669202182,614721,0.350174606,1714713704,1359771,0.646950928
1669202803,630141,0.34869194,1714714309,1406004,0.327973337
1669203177,639345,0.376755357,1714714377,1411004,0.347277741
1669203587,649599,0.377599686,1714714444,1416004,0.398314117
1669203998,659783,0.383524925,1714714506,1421004,0.607057922
1669204573,674123,0.346824259,1714714656,1432783,0.489525706
1669205166,688779,0.368467867,1714714723,1437783,0.485694885
1669205744,703395,0.350063324,1714714789,1442783,0.398173431
1669206322,717624,0.369187713,1714714850,1447783,0.501263306
1669206677,726337,0.382072747,1714715465,1495033,0.303408887
1669206875,731207,0.340752065,1714715533,1500033,0.387292969
1669207283,741327,0.376028895,1714715643,1508924,0.436653376
1669207427,744774,0.569284379,1714715735,1516422,0.475218862
1669207826,754568,0.344228446,1714715822,1523620,0.496069908
1669208230,764633,0.388656914,1714715932,1532127,0.500553846
1669208644,774879,0.423775166,1714716057,1541818,0.475766271
1669209305,791082,0.345091611,1714716145,1549006,0.467579156
1669209740,801976,0.36529851,1714716232,1556192,0.460373729
1669210031,809127,0.413542122,1714716358,1565841,0.456369668
1669210286,815403,0.321175396,1714716463,1574178,0.440718174
1669210745,826675,0.386834532,1714716551,1581221,0.426558167
1669211136,836359,0.326694071,1714716661,1589839,0.436744541
1669211391,842498,0.375181347,1714716750,1596963,0.463030934
1669211634,848415,0.34836489,1714716841,1604446,0.442657799
1669212432,868142,0.338492662,1714716944,1612616,0.464104265
1669212875,879372,0.405996412,1714717035,1620177,0.449127138
1669213368,891672,0.355167806,1714717129,1627801,0.479147941
1669213691,899757,0.367899567,1714717257,1637700,0.453118473
1669214322,915538,0.342708021,1714717348,1645107,0.418992341
1669214749,926144,0.35006395,1714717440,1652752,0.400555104
1669215326,940334,0.332525253,1714717536,1660565,0.439855427
1669216006,957157,0.360980302,1714717673,1671128,0.417299688
1669216729,974906,0.359885097,1714717771,1678991,0.468484074
1669217210,986882,0.340538323,1714717865,1686669,0.415103763
1669217624,996906,0.338102579,1714718141,1708142,0.467590515
1669217926,1004451,0.372204572,1714718207,1713759,0.291100293
1669218424,1016648,0.399600655,1714718342,1724357,0.367163658
1669219276,1037814,0.334655613,1714718483,1735371,0.386084348
1669219528,1043737,0.367474198,1714718701,1752779,0.38475354
1669219984,1055035,0.368350238,1714718842,1763840,0.326115578
1669220406,1065364,0.369309843,1714718974,1774095,0.452759415
1669220898,1077596,0.338111371,1714719064,1781009,0.397902727
1669221288,1087105,0.326778233,1714719156,1787921,0.426514804
1669221639,1095853,0.367374986,1714719262,1796114,0.380859464
1669222304,1112181,0.360221624,1714719368,1804090,0.35580954
1669222860,1125877,0.372027129,1714719595,1822192,0.349156433
1669223463,1140463,0.349533558,1714719664,1827927,0.266567409
1669223925,1151794,0.348964572,1714719798,1838662,0.450892746
1669224478,1165326,0.370268553,1714719906,1847060,0.452163398
1669224864,1175081,0.342614859,1714719974,1852060,0.328039642
1669227106,1187185,0.269254148,1714720038,1857060,0.342937531
1669227988,1222571,0.278266221,1714720179,1868675,0.447689176
1669228742,1253423,0.292858541,1714720216,1871425,0.36152606
1669229572,1287076,0.277658254,1714720247,1873806,0.339634728
1669230185,1312304,0.266359866,1714720279,1876147,0.39574666
1669231005,1333491,0.279833704,1714720310,1878553,0.411096406
1669231820,1353864,0.306005567,1714720356,1882072,0.47802726
1669232719,1376975,0.298905551,1714720391,1884724,0.459607434
1669233506,1397962,0.294280052,1714720445,1888928,0.48755796
1669234474,1423523,0.291949391,1714720579,1899675,0.47234714
1669236816,1459565,0.273935229,1714720675,1907452,0.401813298
1669237742,1495652,0.269901425,1714720798,1916895,0.440761656
1669238441,1523462,0.302975625,1714720943,1927639,0.476013213
1669239229,1554429,0.287166148,1714721078,1937807,0.422813684
1669240097,1590266,0.293934792,1714721225,1948704,0.469779998
1669240651,1612757,0.282484919,1714721530,1972595,0.412984619
1669630816,1642393,0.294466913,1714721683,1983646,0.403188288
1669631391,1666308,0.28645137,,,
1669631660,1677206,0.481404513,,,
1669631952,1689330,0.467815101,,,
1669632293,1703293,0.432101101,,,
1669632489,1711184,0.438820958,,,
1669633014,1733143,0.394765437,,,
1669633816,1766126,0.398516208,,,
1669634276,1785242,0.341752052,,,
1669634762,1804933,0.376694888,,,
1669635456,1833966,0.360726357,,,
1669635941,1853829,0.360321969,,,
1669636587,1881066,0.345563263,,,
1669637142,1904704,0.305824727,,,
1669637854,1934769,0.313279122,,,
1669638734,1971484,0.299069405,,,
1669639288,1995343,0.282218456,,,
