Wall time,Step,Value,Exp Wall time,Exp Step,Exp Value
1674087922,5,71.23170471,1714608900,5,11.83677673
1674087965,10,108.1683655,1714608944,10,27.58051491
1674088006,15,78.25727081,1714608996,15,29.65934944
1674088045,20,99.34962463,1714609055,20,26.05205345
1674088086,25,79.5542984,1714609110,25,22.14000511
1674088126,30,81.10678101,1714609165,30,44.16021729
1674088167,35,83.41273499,1714609229,35,30.01279068
1674088211,40,100.2173309,1714609289,40,43.58219147
1674088251,45,98.93447113,1714609360,45,33.16253662
1674088295,50,97.00187683,1714609448,50,42.22162628
1674088337,55,125.3146362,1714609584,55,66.3458786
1674088381,60,92.05383301,1714609737,60,364.1940308
1674088427,65,105.1274948,1714609908,65,275.7752991
1674088490,70,269.8190613,1714610143,70,352.4173584
1674088557,75,281.4004822,1714610315,75,258.3369751
1674088608,80,118.1790619,1714610448,80,299.0661621
1674088660,85,273.5570374,1714610635,85,394.1904297
1674088739,90,247.0528259,1714610799,90,392.3591309
1674088821,95,288.0061646,1714610989,95,283.7309265
1674088918,100,278.8929749,1714611171,100,424.3120728
1674089011,105,244.1066437,1714611310,105,433.071106
1674089098,110,316.1689453,1714611469,110,441.2945862
1674089200,115,311.7105408,1714611622,115,441.3514099
1674089311,120,332.04422,1714611759,120,431.6243896
1674089405,125,259.2315674,1714611891,125,182.3735199
1674089511,130,239.6099091,1714612043,130,492.2351074
1674089601,135,193.5775452,1714612177,135,431.6938171
1674089697,140,110.5147324,1714612310,140,511.0588379
1674089740,145,82.03405762,1714612420,145,469.5158997
1674089784,150,150.0470886,1714612575,150,399.5268555
1674089842,155,400.8132019,1714612699,155,527.317749
1674089956,160,321.5572205,1714612827,160,530.6113281
1674090058,165,365.3861694,1714612939,165,295.052124
1674090167,170,367.6329346,1714613051,170,540.5689697
1674090268,175,326.2836914,1714613172,175,477.7570801
1674090376,180,447.6748657,1714613294,180,481.9385681
1674090476,185,334.2264404,1714613404,185,529.0870361
1674090577,190,352.8061523,1714613517,190,548.0112305
1674090673,195,346.5089722,1714613618,195,550.3353271
1674090775,200,324.7778015,1714613703,200,529.1038818
1674090881,205,342.0091858,1714613808,205,557.8358765
1674090990,210,349.1261902,1714613921,210,524.4390869
1674091092,215,330.0662537,1714614027,215,596.4576416
1674091209,220,363.7863464,1714614138,220,530.9246216
1674091312,225,426.3979492,1714614232,225,561.3817139
1674091374,230,35.75529099,1714614332,230,608.177063
1674091456,235,177.7608643,1714614431,235,607.4721069
1674091505,240,61.78526688,1714614538,240,731.9364624
1674091554,245,68.25083923,1714614660,245,650.899353
1674091604,250,65.80534363,1714614776,250,657.4110107
1674091669,255,191.8359985,1714614876,255,698.7299805
1674091741,260,56.73101425,1714614970,260,614.3448486
1674091808,265,62.00667953,1714615050,265,259.4935608
1674091879,270,68.64242554,1714615144,270,720.9071045
1674091981,275,281.4606934,1714615250,275,690.3792114
1674092081,280,211.7101898,1714615365,280,739.3896484
1674092228,285,318.270813,1714615480,285,667.1709595
1674092341,290,321.4233093,1714615561,290,239.5971375
1674092465,295,400.087677,1714615599,295,249.3968506
1674092593,300,779.2611084,1714615641,300,261.6690674
1674092638,305,124.0949326,1714615765,305,794.1627808
1674092728,310,58.90226746,1714615949,310,691.7884521
1674092849,315,1260.06665,1714616054,315,149.0799866
1674092960,320,157.3569489,1714616097,320,239.5277863
1674093127,325,283.925415,1714616200,325,1102.647217
1674093252,330,1037.848267,1714616365,330,743.6645508
1674093392,335,533.0030518,1714616489,335,715.3032837
1674093677,340,1685.388672,1714616693,340,968.0271606
1674093800,345,372.6578369,1714616844,345,762.8823853
1674093966,350,429.4246216,1714616932,350,179.3141785
1674094087,355,380.2823792,1714617068,355,862.0135498
1674094201,360,380.4043579,1714617191,360,935.3734131
1674094315,365,443.9263306,1714617385,365,1291.243408
1674094410,370,235.6498871,1714617505,370,586.2139282
1674094634,375,643.5844116,1714617677,375,797.7371826
1674094866,380,417.6678772,1714617874,380,340.7597656
1674095100,385,1432.819946,1714618161,385,3072.380615
1674095234,390,1449.730103,1714618312,390,727.708252
1674095407,395,144.765625,1714618568,395,1937.521484
1674095638,400,247.9129639,1714618761,400,265.7555542
1674095855,405,2158.214844,1714618888,405,579.0043945
1674096158,410,3725.080322,1714619147,410,4548.193848
1674096305,415,82.15956879,1714619284,415,2705.345947
1674096413,420,824.1182251,1714619503,420,1542.88147
1674096655,425,2127.634277,1714619562,425,399.966156
1674096882,430,2652.813232,1714619761,430,4632.949707
1674097173,435,3120.509277,1714619981,435,971.9915771
1674097702,440,519.0692139,1714620403,440,2743.102295
1674098024,445,1754.10376,1714620658,445,2996.056641
1674098307,450,1572.816406,1714620929,450,177.1596375
1674098589,455,881.4311523,1714621078,455,2407.52417
1674098780,460,407.3438416,1714621442,460,1200.044312
1674098938,465,580.6524658,1714622112,465,3555.361572
1674099192,470,499.272522,1714622446,470,2956.205322
1674099482,475,561.1103516,1714622914,475,3151.16626
1674099819,480,96.07745361,1714623241,480,708.8895264
1674100216,485,1306.920044,1714623468,485,5239.971191
1674100455,490,1313.183228,1714623765,490,1450.363525
1674100784,495,141.5036469,1714624036,495,640.5531006
1674101380,500,3905.120117,1714624359,500,889.5367432
1674101944,505,3740.592773,1714624700,505,759.8671875
1674102340,510,607.7622681,1714625218,510,5147.713867
1674102595,515,713.5922241,1714625552,515,762.5838013
1674102952,520,870.7357178,1714625896,520,721.3079834
1674103192,525,1679.64978,1714626178,525,670.0666504
1674103505,530,726.9020996,1714626581,530,443.9831848
1674103767,535,1076.459961,1714626841,535,1440.414063
1674104010,540,1576.830566,1714627179,540,4218.3125
1674104565,545,501.7966003,1714627447,545,403.4725342
1674104707,550,1629.907593,1714627566,550,1307.243286
1674105207,555,2572.568115,1714627867,555,4122.225586
1674105449,560,1019.972107,1714628333,560,4943.478516
1674105889,565,1693.035645,1714628666,565,310.3340759
1674106341,570,337.8456726,1714629113,570,5415.160156
1674106808,575,1725.239502,1714629400,575,3626.293701
1674107225,580,2481.396973,1714629735,580,5305.958984
1674107583,585,2629.655029,1714629964,585,177.9105835
1674110214,590,551.1812134,1714630339,590,2625.229736
1674110344,595,1592.382568,1714630619,595,712.9033203
1674110477,600,96.27098083,1714630991,600,5555.801758
1674110886,605,150.6201324,1714631353,605,5531.202637
1674111405,610,2348.013428,1714631676,610,586.5128784
1674111979,615,3021.103516,1714632030,615,4339.088867
1674112409,620,2506.579346,1714632325,620,1641.773804
1674112863,625,1985.811279,1714632737,625,4538.254883
1674113268,630,2028.439575,1714633040,630,420.8486023
1674113863,635,4285.64209,1714633273,635,2713.807129
1674114316,640,4368.468262,1714633516,640,2834.407715
1674115012,645,3061.19458,1714633857,645,1650.590454
1674115497,650,3560.55127,,,
1674115853,655,950.6074829,,,
1674116489,660,4320.819336,,,
1674116868,665,118.1177979,,,
1674117313,670,4459.407715,,,
1674117811,675,1884.085693,,,
1674118242,680,3023.515137,,,
1674118890,685,4445.950195,,,
1674119495,690,365.0215759,,,
1674119996,695,569.9347534,,,
1674120200,700,1397.156006,,,
1674120582,705,1004.2229,,,
1674120878,710,1470.859741,,,
1674121117,715,1151.026123,,,
1674121476,720,4252.855469,,,
1674121929,725,1002.225281,,,
1674122236,730,47.63218689,,,
1674122492,735,1588.060547,,,
1674123059,740,4323.674316,,,
1674123307,745,1531.904541,,,
1674123561,750,1555.85498,,,
1674123734,755,2151.530518,,,
1674124100,760,2821.081299,,,
1674124671,765,353.1007385,,,
1674125196,770,2915.810303,,,
1674125645,775,986.0049438,,,
1674126259,780,2720.109131,,,
1674158243,785,1962.932739,,,
1674158714,790,5249.138672,,,
1674159291,795,5199.391602,,,
1674175109,795,4352.733887,,,
1674175640,800,2549.603271,,,
1674176017,805,232.5005188,,,
1674176722,810,4133.277344,,,
1674177334,815,2804.458252,,,
1674178077,820,4293.509766,,,
1674178674,825,2359.155518,,,
1674179217,830,1454.916504,,,
1674179834,835,4260.850586,,,
1674180363,840,4418.25293,,,
1674181076,845,4238.731934,,,
1674181922,850,4422.825195,,,
1674182323,855,311.379303,,,
1674182877,860,4425.974121,,,
1674183430,865,4039.345703,,,
1674183761,870,2796.510742,,,
1674184311,875,2939.637207,,,
1674184861,880,2941.522217,,,
1674185593,885,4077.917725,,,
1674186304,890,971.7247314,,,
1674186711,895,4096.76123,,,
1674187125,900,4110.033203,,,
1674187721,905,2872.331299,,,
1674188405,910,1423.197388,,,
1674189145,915,4400.355469,,,
1674189936,920,2411.518799,,,
1674249998,925,5103.744141,,,
1674250713,930,5142.469238,,,
1674251057,935,106.8654175,,,
1674251569,940,2210.598389,,,
