Wall time,Step,Value,Exp Wall time,Exp Step,Exp Value
1674087922,5,0.284913212,1714608900,5,0.766543984
1674087965,10,0.253191769,1714608944,10,0.796945691
1674088006,15,0.216935039,1714608996,15,0.947090805
1674088045,20,0.308796823,1714609055,20,0.998106003
1674088086,25,0.144878283,1714609110,25,0.955269694
1674088126,30,0.181818157,1714609165,30,0.913771927
1674088167,35,0.191701636,1714609229,35,1.121934414
1674088211,40,0.20607692,1714609289,40,1.111534357
1674088251,45,0.167882591,1714609360,45,1.273433566
1674088295,50,0.327045351,1714609448,50,1.371643662
1674088337,55,0.147998273,1714609584,55,1.493362904
1674088381,60,0.194784373,1714609737,60,1.005679369
1674088427,65,0.180925444,1714609908,65,1.139992952
1674088490,70,0.311416358,1714610143,70,0.93478179
1674088557,75,0.333766222,1714610315,75,0.94232595
1674088608,80,0.185232297,1714610448,80,0.778751493
1674088660,85,0.185846046,1714610635,85,0.860115588
1674088739,90,0.348678738,1714610799,90,0.73267293
1674088821,95,0.28425765,1714610989,95,0.970460415
1674088918,100,0.325077087,1714611171,100,0.645123124
1674089011,105,0.321693599,1714611310,105,0.736949205
1674089098,110,0.276731461,1714611469,110,0.818535626
1674089200,115,0.395623714,1714611622,115,0.676484823
1674089311,120,0.401906073,1714611759,120,0.544230223
1674089405,125,0.358801514,1714611891,125,0.615389884
1674089511,130,0.440009773,1714612043,130,0.614887834
1674089601,135,0.553934872,1714612177,135,0.573159873
1674089697,140,0.446350813,1714612310,140,0.498422831
1674089740,145,0.370902687,1714612420,145,0.581479013
1674089784,150,0.355917245,1714612575,150,0.559473574
1674089842,155,0.330664784,1714612699,155,0.478008956
1674089956,160,0.450809538,1714612827,160,0.446797699
1674090058,165,0.26289019,1714612939,165,0.54236573
1674090167,170,0.273710549,1714613051,170,0.405326039
1674090268,175,0.241443157,1714613172,175,0.479608059
1674090376,180,0.252870262,1714613294,180,0.458198726
1674090476,185,0.251318216,1714613404,185,0.421061188
1674090577,190,0.289969563,1714613517,190,0.429546952
1674090673,195,0.281792134,1714613618,195,0.365842342
1674090775,200,0.262198746,1714613703,200,0.433593124
1674090881,205,0.269769847,1714613808,205,0.318535984
1674090990,210,0.252969265,1714613921,210,0.369452834
1674091092,215,0.249327362,1714614027,215,0.336920142
1674091209,220,0.249112025,1714614138,220,0.451921642
1674091312,225,0.308087587,1714614232,225,0.371015847
1674091374,230,0.431147277,1714614332,230,0.393051386
1674091456,235,0.451839179,1714614431,235,0.539190114
1674091505,240,0.473605514,1714614538,240,0.536982298
1674091554,245,0.465807557,1714614660,245,0.503507376
1674091604,250,0.443191051,1714614776,250,0.412253082
1674091669,255,0.434308648,1714614876,255,0.335550219
1674091741,260,0.454184771,1714614970,260,0.326491952
1674091808,265,0.455046296,1714615050,265,0.302776366
1674091879,270,0.451091081,1714615144,270,0.321631849
1674091981,275,0.390744656,1714615250,275,0.364703149
1674092081,280,0.405294389,1714615365,280,0.414664149
1674092228,285,0.353040248,1714615480,285,0.326518536
1674092341,290,0.34692812,1714615561,290,0.324689865
1674092465,295,0.278000563,1714615599,295,0.177379116
1674092593,300,0.335089117,1714615641,300,0.187137932
1674092638,305,0.175352454,1714615765,305,0.30985564
1674092728,310,0.379216433,1714615949,310,0.401057601
1674092849,315,0.345136076,1714616054,315,0.282001317
1674092960,320,0.201492757,1714616097,320,0.277632713
1674093127,325,0.209076881,1714616200,325,0.261769712
1674093252,330,0.342116624,1714616365,330,0.447279185
1674093392,335,0.287555784,1714616489,335,0.37534824
1674093677,340,0.261805415,1714616693,340,0.309123814
1674093800,345,0.292801648,1714616844,345,0.368041545
1674093966,350,0.30760023,1714616932,350,0.197773308
1674094087,355,0.306308538,1714617068,355,0.298806012
1674094201,360,0.340874791,1714617191,360,0.235900655
1674094315,365,0.355039179,1714617385,365,0.293098062
1674094410,370,0.19617258,1714617505,370,0.221906736
1674094634,375,0.269598842,1714617677,375,0.368102044
1674094866,380,0.29066956,1714617874,380,0.367054403
1674095100,385,0.322189122,1714618161,385,0.350858957
1674095234,390,0.200790018,1714618312,390,0.370800585
1674095407,395,0.367566228,1714618568,395,0.329871237
1674095638,400,0.286726922,1714618761,400,0.343352437
1674095855,405,0.230077043,1714618888,405,0.374670208
1674096158,410,0.361902595,1714619147,410,0.238273844
1674096305,415,0.37217468,1714619284,415,0.321535617
1674096413,420,0.323528409,1714619503,420,0.265572399
1674096655,425,0.32318306,1714619562,425,0.416963428
