Wall time,Step,Value, Exp Wall time,Exp Step,Exp Value
1674087922,5,16.79999924,1714608900,5,9.199999809
1674087965,10,16.79999924,1714608944,10,8.600000381
1674088006,15,18,1714608996,15,13.19999981
1674088045,20,15.39999962,1714609055,20,13.19999981
1674088086,25,16.20000076,1714609110,25,11
1674088126,30,16.60000038,1714609165,30,11.39999962
1674088167,35,16.39999962,1714609229,35,12.80000019
1674088211,40,17.20000076,1714609289,40,12.60000038
1674088251,45,16.79999924,1714609360,45,15.39999962
1674088295,50,18.39999962,1714609448,50,16
1674088337,55,18,1714609584,55,23.39999962
1674088381,60,18.20000076,1714609737,60,34
1674088427,65,21.79999924,1714609908,65,34.20000076
1674088490,70,33.20000076,1714610143,70,50
1674088557,75,37,1714610315,75,39.59999847
1674088608,80,24.79999924,1714610448,80,31.39999962
1674088660,85,25.79999924,1714610635,85,50.40000153
1674088739,90,43,1714610799,90,42.40000153
1674088821,95,46.79999924,1714610989,95,50.79999924
1674088918,100,54,1714611171,100,49.40000153
1674089011,105,51.59999847,1714611310,105,43
1674089098,110,46.79999924,1714611469,110,46.59999847
1674089200,115,57.79999924,1714611622,115,49.59999847
1674089311,120,63.59999847,1714611759,120,42.59999847
1674089405,125,58.79999924,1714611891,125,44
1674089511,130,44,1714612043,130,50
1674089601,135,49.59999847,1714612177,135,47.59999847
1674089697,140,35.79999924,1714612310,140,47.79999924
1674089740,145,21.39999962,1714612420,145,38.20000076
1674089784,150,21.60000038,1714612575,150,50.20000076
1674089842,155,35.59999847,1714612699,155,48
1674089956,160,49.40000153,1714612827,160,48.59999847
1674090058,165,61,1714612939,165,46
1674090167,170,62.79999924,1714613051,170,45.59999847
1674090268,175,61.59999847,1714613172,175,49.59999847
1674090376,180,64.80000305,1714613294,180,50.40000153
1674090476,185,61,1714613404,185,49
1674090577,190,61.59999847,1714613517,190,50.40000153
1674090673,195,60.79999924,1714613618,195,45.59999847
1674090775,200,64.40000153,1714613703,200,36.79999924
1674090881,205,67,1714613808,205,49.79999924
1674090990,210,71,1714613921,210,50.59999847
1674091092,215,69.19999695,1714614027,215,51.40000153
1674091209,220,74.80000305,1714614138,220,51
1674091312,225,69.19999695,1714614232,225,47.40000153
1674091374,230,14.39999962,1714614332,230,48.59999847
1674091456,235,39,1714614431,235,50.79999924
1674091505,240,23.79999924,1714614538,240,52
1674091554,245,24.79999924,1714614660,245,59
1674091604,250,24.39999962,1714614776,250,57.79999924
