Wall time,Step,Value,Exp Wall time,Exp Step,Exp Value
1674087922,1740,16.79999924,1714608900,3239,9.199999809
1674087965,3409,16.79999924,1714608944,6220,8.600000381
1674088006,4980,18,1714608996,9798,13.19999981
1674088045,6426,15.39999962,1714609055,13703,13.19999981
1674088086,7892,16.20000076,1714609110,17479,11
1674088126,9293,16.60000038,1714609165,21143,11.39999962
1674088167,10816,16.39999962,1714609229,25507,12.80000019
1674088211,12369,17.20000076,1714609289,29501,12.60000038
1674088251,13859,16.79999924,1714609360,34350,15.39999962
1674088295,15488,18.39999962,1714609448,40305,16
1674088337,17093,18,1714609584,49504,23.39999962
1674088381,18695,18.20000076,1714609737,59679,34
1674088427,20414,21.79999924,1714609908,71177,34.20000076
1674088490,22649,33.20000076,1714610143,86971,50
1674088557,25142,37,1714610315,98539,39.59999847
1674088608,27026,24.79999924,1714610448,107554,31.39999962
1674088660,28941,25.79999924,1714610635,120432,50.40000153
1674088739,31723,43,1714610799,131586,42.40000153
1674088821,34678,46.79999924,1714610989,144581,50.79999924
1674088918,38117,54,1714611171,156877,49.40000153
1674089011,41436,51.59999847,1714611310,166431,43
1674089098,44482,46.79999924,1714611469,177225,46.59999847
1674089200,48117,57.79999924,1714611622,187675,49.59999847
1674089311,52072,63.59999847,1714611759,196911,42.59999847
1674089405,55461,58.79999924,1714611891,205987,44
1674089511,59301,44,1714612043,216227,50
1674089601,62893,49.59999847,1714612177,225405,47.59999847
1674089697,66665,35.79999924,1714612310,234451,47.79999924
1674089740,68400,21.39999962,1714612420,241981,38.20000076
1674089784,70153,21.60000038,1714612575,252445,50.20000076
1674089842,72458,35.59999847,1714612699,260896,48
1674089956,76684,49.40000153,1714612827,269565,48.59999847
1674090058,80307,61,1714612939,277269,46
1674090167,84041,62.79999924,1714613051,284884,45.59999847
1674090268,87600,61.59999847,1714613172,293117,49.59999847
1674090376,91361,64.80000305,1714613294,301340,50.40000153
1674090476,94899,61,1714613404,308856,49
1674090577,98390,61.59999847,1714613517,316496,50.40000153
1674090673,101817,60.79999924,1714613618,323365,45.59999847
1674090775,105262,64.40000153,1714613703,329155,36.79999924
1674090881,108915,67,1714613808,336366,49.79999924
1674090990,112699,71,1714613921,343989,50.59999847
1674091092,116274,69.19999695,1714614027,351210,51.40000153
1674091209,120331,74.80000305,1714614138,358723,51
1674091312,123995,69.19999695,1714614232,365221,47.40000153
1674091374,126315,14.39999962,1714614332,371944,48.59999847
1674091456,129492,39,1714614431,378758,50.79999924
1674091505,131108,23.79999924,1714614538,386016,52
1674091554,132790,24.79999924,1714614660,394372,59
1674091604,134490,24.39999962,1714614776,402239,57.79999924
1674091669,136662,36.20000076,1714614876,409101,56.59999847
1674091741,139014,39.40000153,1714614970,415493,51.20000076
1674091808,141223,37.40000153,1714615050,421050,44.40000153
1674091879,143573,39.20000076,1714615144,427465,51.79999924
1674091981,146878,68.59999847,1714615250,434694,56.59999847
1674092081,150048,63,1714615365,442552,63
1674092228,155467,60,1714615480,450632,55.59999847
1674092341,159545,63,1714615561,456351,35.40000153
1674092465,164341,54.79999924,1714615599,459092,22.60000038
1674092593,169284,62,1714615641,462100,24.79999924
1674092638,171108,23,1714615765,470325,64.80000305
1674092728,174529,20,1714615949,482571,48.59999847
1674092849,179144,32.40000153,1714616054,489881,28
1674092960,183408,29.60000038,1714616097,492900,25.20000076
1674093127,189821,27.39999962,1714616200,500185,14.60000038
1674093252,194440,54.20000076,1714616365,510877,64.80000305
1674093392,199719,41.79999924,1714616489,519248,66.59999847
1674093677,210320,42.40000153,1714616693,533166,60.20000076
1674093800,215153,60.79999924,1714616844,543332,46.40000153
1674093966,221156,75.40000153,1714616932,549441,15
1674094087,225394,84.80000305,1714617068,558537,67.80000305
1674094201,229257,75.59999847,1714617191,567235,77.80000305
1674094315,233203,82.19999695,1714617385,580610,41.40000153
1674094410,236961,52.59999847,1714617505,588998,50.59999847
1674094634,244901,53.40000153,1714617677,600724,75.80000305
1674094866,252850,49.79999924,1714617874,613783,63
1674095100,260928,67.80000305,1714618161,633289,58.79999924
1674095234,265717,35.20000076,1714618312,643394,68.40000153
1674095407,271902,62.20000076,1714618568,660700,53.20000076
1674095638,279920,41.59999847,1714618761,673667,56.79999924
1674095855,287432,31,1714618888,682316,67
1674096158,297607,29.20000076,1714619147,700040,67.40000153
1674096305,302874,33,1714619284,709227,54.79999924
1674096413,306477,59.20000076,1714619503,724186,81.19999695
1674096655,314958,61.40000153,1714619562,728296,34.59999847
1674096882,322952,69,1714619761,741802,27.39999962
1674097173,333463,65.40000153,1714619981,756821,84.19999695
1674097702,352560,83.80000305,1714620403,785664,67.40000153
1674098024,364518,82.40000153,1714620658,803326,55
1674098307,374961,98.40000153,1714620929,821919,55.59999847
1674098589,385037,83,1714621078,832261,70.59999847
1674098780,391424,77.19999695,1714621442,857170,80
1674098938,396713,123.1999969,1714622112,880834,96.40000153
1674099192,405453,57.40000153,1714622446,903142,75.80000305
1674099482,415349,95.40000153,1714622914,934588,21.39999962
1674099819,426034,103.4000015,1714623241,956507,28.79999924
1674100216,439092,92.80000305,1714623468,971897,73.59999847
1674100455,447109,64.80000305,1714623765,991774,97.59999847
1674100784,458511,47,1714624036,1009861,91.59999847
1674101380,478700,74.80000305,1714624359,1031398,75.59999847
1674101944,498370,70.80000305,1714624700,1054362,94.59999847
1674102340,511996,115.8000031,1714625218,1089156,113.4000015
1674102595,520926,67.80000305,1714625552,1111625,74.59999847
1674102952,533336,72,1714625896,1135085,72.40000153
1674103192,541211,51.40000153,1714626178,1154299,93.80000305
1674103505,551182,98.59999847,1714626581,1181392,62
1674103767,559619,58.79999924,1714626841,1198810,70.40000153
1674104010,567390,129,1714627179,1221683,77
1674104565,585029,145.3999939,1714627447,1240027,46
1674104707,589506,73.80000305,1714627566,1248114,58.79999924
1674105207,605630,93.40000153,1714627867,1268334,107
1674105449,613543,148,1714628333,1300318,92.19999695
1674105889,628166,120,1714628666,1323364,83.59999847
1674106341,643030,117.1999969,1714629113,1354173,103.4000015
1674106808,658523,146,1714629400,1374106,81.80000305
1674107225,671666,144.3999939,1714629735,1397435,74.80000305
1674107583,683396,149.6000061,1714629964,1413266,107.1999969
1674109762,682707,55.59999847,1714630339,1439060,64.59999847
1674110214,699256,60.79999924,1714630619,1458341,71.59999847
1674110344,704280,32,1714630991,1483908,146.1999969
1674110477,709267,38.59999847,1714631353,1508855,54.40000153
1674110886,724707,73.19999695,1714631676,1530988,58.40000153
1674111405,743986,60.59999847,1714632030,1555278,80.80000305
1674111979,765687,35.59999847,1714632325,1575320,105.5999985
1674112409,781358,39.79999924,1714632737,1603576,85.19999695
1674112863,798299,96.59999847,1714633040,1624355,73.40000153
1674113268,813213,51.20000076,1714633273,1640297,60.20000076
1674113863,835417,70.80000305,1714633516,1656889,17
1674114316,852175,69.40000153,1714633857,1680363,102
1674115012,878319,58.40000153,,,
1674115497,895893,107,,,
1674115853,909233,66.59999847,,,
1674116489,932593,92.80000305,,,
1674116868,946752,48.59999847,,,
1674117313,963374,89.80000305,,,
1674117811,982069,55.59999847,,,
1674118242,997867,54,,,
1674118890,1022049,105.4000015,,,
1674119495,1044336,127,,,
1674119996,1063133,91.40000153,,,
1674120200,1070659,74.40000153,,,
1674120582,1085048,112.8000031,,,
1674120878,1096049,60.20000076,,,
1674121117,1104986,156.6000061,,,
1674121476,1118238,123.5999985,,,
1674121929,1135290,121.4000015,,,
1674122236,1146538,67.59999847,,,
1674122492,1156049,129.1999969,,,
1674123059,1176964,86,,,
1674123307,1186315,82,,,
1674123561,1195702,76.19999695,,,
1674123734,1202199,88.80000305,,,
1674124100,1215745,94.40000153,,,
1674124671,1237188,80.19999695,,,
1674125196,1256446,58.79999924,,,
1674125645,1273235,91,,,
1674126259,1295835,226.8000031,,,
1674158243,1314502,51,,,
1674158714,1335432,45.79999924,,,
1674159291,1361407,59.59999847,,,
1674175109,1363512,37.59999847,,,
1674175640,1382563,75.80000305,,,
1674176017,1396288,53.79999924,,,
1674176722,1421492,29,,,
1674177334,1443730,89.80000305,,,
1674178077,1470320,69,,,
1674178674,1491901,40.40000153,,,
1674179217,1511249,83.40000153,,,
1674179834,1533447,118.5999985,,,
1674180363,1552385,72.80000305,,,
1674181076,1578153,82,,,
1674181922,1608387,29,,,
1674182323,1622950,84.80000305,,,
1674182877,1642834,131.1999969,,,
1674183430,1662721,136.6000061,,,
1674183761,1674219,80.40000153,,,
1674184311,1693617,119.4000015,,,
1674184861,1712551,96.40000153,,,
1674185593,1737991,89,,,
1674186304,1762395,85,,,
1674186711,1776647,77,,,
1674187125,1790916,73,,,
1674187721,1812247,89.59999847,,,
1674188405,1836378,150,,,
1674189145,1862819,233.8000031,,,
1674189936,1890818,200.8000031,,,
1674249998,1925268,42.59999847,,,
1674250713,1953989,68.80000305,,,
1674251057,1967933,25.39999962,,,
1674251569,1988477,52.40000153,,,
