Wall time,Step,Value,Exp Wall time,Exp Step,Exp Value
1674087922,5,90.25559235,1714608900,5,20.25023842
1674087965,10,96.02275085,1714608944,10,17.96539497
1674088006,15,95.72138214,1714608996,15,25.43467903
1674088045,20,91.72422791,1714609055,20,28.82419014
1674088086,25,90.82974243,1714609110,25,27.90907669
1674088126,30,89.85758209,1714609165,30,27.98903465
1674088167,35,89.56497955,1714609229,35,28.93981171
1674088211,40,90.56393433,1714609289,40,29.54682732
1674088251,45,90.6924057,1714609360,45,31.75154495
1674088295,50,90.59770966,1714609448,50,33.53787613
1674088337,55,92.36437225,1714609584,55,39.9879303
1674088381,60,93.85692596,1714609737,60,55.25479507
1674088427,65,96.60306549,1714609908,65,66.44143677
1674088490,70,102.1642532,1714610143,70,85.77515411
1674088557,75,108.4002838,1714610315,75,97.34630585
1674088608,80,110.3420944,1714610448,80,106.5432281
1674088660,85,112.0404282,1714610635,85,122.3637009
1674088739,90,117.3741837,1714610799,90,135.4180145
1674088821,95,124.1221161,1714610989,95,147.6085358
1674088918,100,132.6780701,1714611171,100,161.8370819
1674089011,105,139.3992004,1714611310,105,171.6378784
1674089098,110,144.2698517,1714611469,110,179.9597931
1674089200,115,150.0454559,1714611622,115,190.5292664
1674089311,120,157.4210968,1714611759,120,199.3401337
1674089405,125,163.4919891,1714611891,125,207.4088745
1674089511,130,169.7976074,1714612043,130,217.2904205
1674089601,135,172.7319794,1714612177,135,226.2968445
1674089697,140,178.2963562,1714612310,140,235.3870392
1674089740,145,175.9706573,1714612420,145,239.3326263
1674089784,150,174.0665436,1714612575,150,247.3294373
1674089842,155,174.0790558,1714612699,155,255.3724518
1674089956,160,178.8080597,1714612827,160,263.2638245
1674090058,165,183.591568,1714612939,165,269.2990112
1674090167,170,188.1879883,1714613051,170,275.921814
1674090268,175,192.5825806,1714613172,175,282.4988708
1674090376,180,197.0458069,1714613294,180,288.968689
1674090476,185,200.6909332,1714613404,185,295.4073486
1674090577,190,203.7518616,1714613517,190,301.4882507
1674090673,195,206.9323578,1714613618,195,306.8080444
1674090775,200,210.2978821,1714613703,200,308.6352844
1674090881,205,213.4914551,1714613808,205,314.9013062
1674090990,210,217.2951508,1714613921,210,320.8100586
1674091092,215,220.439209,1714614027,215,327.0509033
1674091209,220,224.5100708,1714614138,220,331.9481201
1674091312,225,227.3887024,1714614232,225,336.2642212
