Wall time,Step,Training Value,Validation Value
1714695263,1,2074.108887,1130.476929
1714695281,2,1018.886169,932.3016357
1714695298,3,896.5084839,851.1138916
1714695315,4,826.1806641,792.9919434
1714695332,5,777.0172729,755.5038452
1714695350,6,744.0715942,725.0820923
1714695367,7,720.303772,700.7438965
1714695384,8,698.4105835,683.1148071
1714695401,9,682.1013184,668.1009521
1714695419,10,667.0866699,655.5250244
1714695436,11,656.1572876,643.7927856
1714695453,12,644.763916,633.0906982
1714695470,13,634.8856201,622.5383911
1714695488,14,626.2200928,615.1564331
1714695505,15,618.0542603,606.7675781
1714695522,16,611.140686,600.5515137
1714695539,17,603.5512085,594.4420776
1714695556,18,597.5406494,589.0805664
1714695574,19,592.5361938,582.4945068
1714695591,20,587.3944702,577.8552856
1714695608,21,581.418457,574.0772095
1714695625,22,576.4605103,569.6022949
1714695643,23,572.4041748,565.2823486
1714695660,24,568.4645386,560.9268799
1714695677,25,564.5613403,558.3598633
1714695695,26,560.6223145,551.3013916
1714695712,27,556.9754028,550.9369507
1714695729,28,554.0281372,548.4910889
1714695746,29,551.0588379,541.8965454
1714695764,30,546.9683838,540.7249756
1714695781,31,544.1997681,536.4467773
1714695798,32,541.302063,530.6101074
1714695815,33,538.2058105,533.5465698
1714695832,34,535.8583984,527.8115845
1714695850,35,533.6333008,524.2490234
1714695867,36,530.5893555,522.2703857
1714695884,37,529.1611328,520.8156738
1714695901,38,526.5126343,521.756897
1714695918,39,524.4983521,516.8181152
1714695935,40,522.538269,513.8712769
1714695953,41,520.2446899,515.7391968
1714695970,42,518.8703003,511.1346741
1714695987,43,516.6760864,510.5423584
1714696004,44,514.5667725,508.4325867
1714696022,45,512.6063843,507.2731018
1714696039,46,511.4599609,504.1089172
1714696056,47,509.743927,501.7616882
1714696073,48,507.7894897,501.6057434
1714696091,49,506.1846008,499.2631836
1714696108,50,505.6701965,499.4957886
1714696125,51,503.4147034,498.8423157
1714696142,52,502.6176453,495.2483521
1714696159,53,500.337738,495.5581055
1714696177,54,499.9762878,494.0696106
1714696194,55,497.8031311,491.8735046
1714696211,56,497.0188904,490.9866333
1714696228,57,495.4796448,489.1712952
1714696246,58,493.7670288,487.0907288
1714696263,59,492.1014099,488.0742188
1714696280,60,491.8396301,486.5300903
1714696297,61,489.3883362,483.4915161
1714696315,62,488.7170715,483.4925232
1714696332,63,487.0797119,481.3819885
1714696349,64,486.3076782,482.9046631
1714696367,65,485.2880554,479.7822266
1714696384,66,484.147583,477.6941223
1714696401,67,482.6767883,478.035614
1714696419,68,482.1427917,474.7815552
1714696436,69,481.6322327,475.6016846
1714696453,70,480.4732971,473.956543
1714696470,71,479.041748,473.0039368
1714696488,72,478.1062927,473.7826233
1714696505,73,477.1115723,471.6495361
1714696522,74,476.5265198,470.9681702
1714696539,75,474.966217,468.5062256
1714696557,76,474.6867371,467.3860168
1714696574,77,473.3782349,468.1941223
1714696591,78,472.3599548,466.0874329
1714696609,79,471.6618652,466.6059265
1714696626,80,470.9698486,465.8624573
1714696644,81,469.7579651,466.1400452
1714696661,82,469.0325012,462.5679626
1714696678,83,468.433197,461.8655701
1714696696,84,466.9524841,461.668457
1714696714,85,467.0670776,460.7552795
1714696732,86,465.8486633,459.1057434
1714696750,87,464.9755859,457.4934998
1714696767,88,464.3040466,458.2743835
1714696785,89,463.5896301,458.0879211
1714696803,90,462.5265503,457.7807922
1714696820,91,462.1749878,458.3554993
1714696838,92,460.6906738,455.6123657
1714696856,93,459.7845459,455.3258972
1714696873,94,459.3445435,453.8556824
1714696891,95,458.7420349,453.2112732
1714696908,96,458.0643005,454.067749
1714696926,97,457.6075745,455.4442749
1714696944,98,456.9021301,450.5353088
1714696961,99,455.8062134,451.0605164
1714696979,100,455.4809265,449.1011047
